BBN, Tritium decay, in eV^-1 cm^-2 s^-1 	

    Energy[eV]         Flux   
   3.3000000e-02   4.2046000e-03
   3.4000000e-02   4.1976000e-03
   3.5000000e-02   4.1865000e-03
   3.6000000e-02   4.1715000e-03
   3.7000000e-02   4.1528000e-03
   3.8000000e-02   4.1306000e-03
   3.9000000e-02   4.1052000e-03
   4.0000000e-02   4.0768000e-03
   4.1000000e-02   4.0455000e-03
   4.2000000e-02   4.0115000e-03
   4.3000000e-02   3.9750000e-03
   4.4000000e-02   3.9362000e-03
   4.5000000e-02   3.8953000e-03
   4.6000000e-02   3.8523000e-03
   4.7000000e-02   3.8075000e-03
   4.8000000e-02   3.7610000e-03
   4.9000000e-02   3.7130000e-03
   5.0000000e-02   3.6635000e-03
   5.1000000e-02   3.6127000e-03
   5.2000000e-02   3.5607000e-03
   5.3000000e-02   3.5077000e-03
   5.4000000e-02   3.4537000e-03
   5.5000000e-02   3.3989000e-03
   5.6000000e-02   3.3434000e-03
   5.7000000e-02   3.2873000e-03
   5.8000000e-02   3.2306000e-03
   5.9000000e-02   3.1735000e-03
   6.0000000e-02   3.1160000e-03
   6.1000000e-02   3.0583000e-03
   6.2000000e-02   3.0003000e-03
   6.3000000e-02   2.9423000e-03
   6.4000000e-02   2.8842000e-03
   6.5000000e-02   2.8261000e-03
   6.6000000e-02   2.7681000e-03
   6.7000000e-02   2.7102000e-03
   6.8000000e-02   2.6526000e-03
   6.9000000e-02   2.5952000e-03
   7.0000000e-02   2.5381000e-03
   7.1000000e-02   2.4814000e-03
   7.2000000e-02   2.4251000e-03
   7.3000000e-02   2.3692000e-03
   7.4000000e-02   2.3138000e-03
   7.5000000e-02   2.2589000e-03
   7.6000000e-02   2.2046000e-03
   7.7000000e-02   2.1508000e-03
   7.8000000e-02   2.0977000e-03
   7.9000000e-02   2.0452000e-03
   8.0000000e-02   1.9934000e-03
   8.1000000e-02   1.9422000e-03
   8.2000000e-02   1.8918000e-03
   8.3000000e-02   1.8421000e-03
   8.4000000e-02   1.7932000e-03
   8.5000000e-02   1.7450000e-03
   8.6000000e-02   1.6975000e-03
   8.7000000e-02   1.6509000e-03
   8.8000000e-02   1.6051000e-03
   8.9000000e-02   1.5601000e-03
   9.0000000e-02   1.5159000e-03
   9.1000000e-02   1.4725000e-03
   9.2000000e-02   1.4299000e-03
   9.3000000e-02   1.3882000e-03
   9.4000000e-02   1.3472000e-03
   9.5000000e-02   1.3072000e-03
   9.6000000e-02   1.2679000e-03
   9.7000000e-02   1.2295000e-03
   9.8000000e-02   1.1919000e-03
   9.9000000e-02   1.1552000e-03
   1.0000000e-01   1.1192000e-03
   1.1000000e-01   8.0386000e-04
   1.2000000e-01   5.6234000e-04
   1.3000000e-01   3.8350000e-04
   1.4000000e-01   2.5513000e-04
   1.5000000e-01   1.6564000e-04
   1.6000000e-01   1.0500000e-04
   1.7000000e-01   6.4989000e-05
   1.8000000e-01   3.9288000e-05
   1.9000000e-01   2.3199000e-05
   2.0000000e-01   1.3382000e-05
   2.1000000e-01   7.5406000e-06
   2.2000000e-01   4.1510000e-06
   2.3000000e-01   2.2324000e-06
   2.4000000e-01   1.1728000e-06
   2.5000000e-01   6.0196000e-07
   2.6000000e-01   3.0182000e-07
   2.7000000e-01   1.4783000e-07
   2.8000000e-01   7.0726000e-08
   2.9000000e-01   3.3053000e-08
   3.0000000e-01   1.5089000e-08
   3.1000000e-01   6.7276000e-09
   3.2000000e-01   2.9299000e-09
   3.3000000e-01   1.2464000e-09
   3.4000000e-01   5.1775000e-10
   3.5000000e-01   2.1004000e-10
   3.6000000e-01   8.3210000e-11
   3.7000000e-01   3.2192000e-11
   3.8000000e-01   1.2162000e-11
   3.9000000e-01   4.4865000e-12
   4.0000000e-01   1.6161000e-12
   4.1000000e-01   5.6841000e-13
   4.2000000e-01   1.9520000e-13
   4.3000000e-01   6.5452000e-14
   4.4000000e-01   2.1427000e-14
   4.5000000e-01   6.8484000e-15
   4.6000000e-01   2.1370000e-15
   4.7000000e-01   6.5100000e-16
   4.8000000e-01   1.9361000e-16
   4.9000000e-01   5.6212000e-17
   5.0000000e-01   1.5932000e-17
   5.1000000e-01   4.4080000e-18
   5.2000000e-01   1.1905000e-18
   5.3000000e-01   3.1389000e-19
   5.4000000e-01   8.0780000e-20
   5.5000000e-01   2.0293000e-20
   5.6000000e-01   4.9760000e-21
   5.7000000e-01   1.1910000e-21
   5.8000000e-01   2.7824000e-22
   5.9000000e-01   6.3447000e-23
   6.0000000e-01   1.4121000e-23
   6.1000000e-01   3.0676000e-24
   6.2000000e-01   6.5042000e-25
   6.3000000e-01   1.3460000e-25
   6.4000000e-01   2.7186000e-26
   6.5000000e-01   5.3590000e-27
   6.6000000e-01   1.0310000e-27
   6.7000000e-01   1.9359000e-28
   6.8000000e-01   3.5477000e-29
   6.9000000e-01   6.3449000e-30
   7.0000000e-01   1.1075000e-30
   7.1000000e-01   1.8865000e-31
   7.2000000e-01   3.1361000e-32
   7.3000000e-01   5.0880000e-33
   7.4000000e-01   8.0559000e-34
   7.5000000e-01   1.2447000e-34
   7.6000000e-01   1.8769000e-35
   7.7000000e-01   2.7620000e-36
   7.8000000e-01   3.9663000e-37
   7.9000000e-01   5.5583000e-38
   8.0000000e-01   7.6013000e-39
   8.1000000e-01   1.0144000e-39
   8.2000000e-01   1.3211000e-40
   8.3000000e-01   1.6790000e-41
   8.4000000e-01   2.0822000e-42
   8.5000000e-01   2.5199000e-43
   8.6000000e-01   2.9758000e-44
   8.7000000e-01   3.4293000e-45
   8.8000000e-01   3.8564000e-46
   8.9000000e-01   4.2318000e-47
   9.0000000e-01   4.5313000e-48
   9.1000000e-01   4.7347000e-49
   9.2000000e-01   4.8275000e-50
   9.3000000e-01   4.8030000e-51
   9.4000000e-01   4.6960000e-52
   9.5000000e-01   4.4173000e-53
   9.6000000e-01   4.0833000e-54
   9.7000000e-01   3.6832000e-55
   9.8000000e-01   3.2417000e-56
   9.9000000e-01   2.7841000e-57
