Geoneutrinos, in eV^-1 cm^-2 s^-1

    Energy [eV]        Flux 
   5.6450000e+05   8.3678000e+01
   5.6550000e+05   8.3750000e+01
   5.6650000e+05   8.3821000e+01
   5.6750000e+05   8.3892000e+01
   5.6850000e+05   8.3963000e+01
   5.6950000e+05   8.4034000e+01
   5.7050000e+05   8.4105000e+01
   5.7150000e+05   8.4174000e+01
   5.7250000e+05   8.4242000e+01
   5.7350000e+05   8.4298000e+01
   5.7450000e+05   8.2928000e+01
   5.7550000e+05   8.2995000e+01
   5.7650000e+05   8.3062000e+01
   5.7750000e+05   8.3111000e+01
   5.7850000e+05   8.3178000e+01
   5.7950000e+05   8.3244000e+01
   5.8050000e+05   8.3311000e+01
   5.8150000e+05   8.3376000e+01
   5.8250000e+05   8.3439000e+01
   5.8350000e+05   8.3503000e+01
   5.8450000e+05   8.3566000e+01
   5.8550000e+05   8.3629000e+01
   5.8650000e+05   8.3692000e+01
   5.8750000e+05   8.3755000e+01
   5.8850000e+05   8.3797000e+01
   5.8950000e+05   8.3860000e+01
   5.9050000e+05   8.3922000e+01
   5.9150000e+05   8.3984000e+01
   5.9250000e+05   8.4044000e+01
   5.9350000e+05   8.4104000e+01
   5.9450000e+05   8.4163000e+01
   5.9550000e+05   8.4223000e+01
   5.9650000e+05   8.3363000e+01
   5.9750000e+05   8.3422000e+01
   5.9850000e+05   8.3481000e+01
   5.9950000e+05   8.3540000e+01
   6.0050000e+05   8.3598000e+01
   6.0150000e+05   8.3656000e+01
   6.0250000e+05   8.3712000e+01
   6.0350000e+05   8.3768000e+01
   6.0450000e+05   8.3825000e+01
   6.0550000e+05   8.3881000e+01
   6.0650000e+05   8.3937000e+01
   6.0750000e+05   8.3993000e+01
   6.0850000e+05   8.4049000e+01
   6.0950000e+05   8.4105000e+01
   6.1050000e+05   8.4149000e+01
   6.1150000e+05   8.4203000e+01
   6.1250000e+05   8.4256000e+01
   6.1350000e+05   8.4309000e+01
   6.1450000e+05   8.4362000e+01
   6.1550000e+05   8.4415000e+01
   6.1650000e+05   8.4467000e+01
   6.1750000e+05   8.4520000e+01
   6.1850000e+05   8.4572000e+01
   6.1950000e+05   8.4624000e+01
   6.2050000e+05   8.4677000e+01
   6.2150000e+05   8.4728000e+01
   6.2250000e+05   8.4778000e+01
   6.2350000e+05   8.4827000e+01
   6.2450000e+05   8.4877000e+01
   6.2550000e+05   8.4926000e+01
   6.2650000e+05   8.4975000e+01
   6.2750000e+05   8.5025000e+01
   6.2850000e+05   8.5074000e+01
   6.2950000e+05   8.5123000e+01
   6.3050000e+05   8.5172000e+01
   6.3150000e+05   8.5220000e+01
   6.3250000e+05   8.5266000e+01
   6.3350000e+05   8.5121000e+01
   6.3450000e+05   8.5167000e+01
   6.3550000e+05   8.5212000e+01
   6.3650000e+05   8.5258000e+01
   6.3750000e+05   8.5304000e+01
   6.3850000e+05   8.5350000e+01
   6.3950000e+05   8.5395000e+01
   6.4050000e+05   8.5441000e+01
   6.4150000e+05   8.5482000e+01
   6.4250000e+05   8.5523000e+01
   6.4350000e+05   8.5565000e+01
   6.4450000e+05   8.5605000e+01
   6.4550000e+05   8.5647000e+01
   6.4650000e+05   8.5689000e+01
   6.4750000e+05   8.5731000e+01
   6.4850000e+05   8.5773000e+01
   6.4950000e+05   8.5814000e+01
   6.5050000e+05   8.5856000e+01
   6.5150000e+05   8.5897000e+01
   6.5250000e+05   8.5935000e+01
   6.5350000e+05   8.5974000e+01
   6.5450000e+05   8.6013000e+01
   6.5550000e+05   8.6052000e+01
   6.5650000e+05   8.6090000e+01
   6.5750000e+05   8.6129000e+01
   6.5850000e+05   8.6167000e+01
   6.5950000e+05   8.6205000e+01
   6.6050000e+05   8.6244000e+01
   6.6150000e+05   8.6282000e+01
   6.6250000e+05   8.6318000e+01
   6.6350000e+05   8.6354000e+01
   6.6450000e+05   8.6390000e+01
   6.6550000e+05   8.6426000e+01
   6.6650000e+05   8.6461000e+01
   6.6750000e+05   8.6492000e+01
   6.6850000e+05   8.6527000e+01
   6.6950000e+05   8.6563000e+01
   6.7050000e+05   8.6598000e+01
   6.7150000e+05   8.3039000e+01
   6.7250000e+05   8.3072000e+01
   6.7350000e+05   8.3104000e+01
   6.7450000e+05   8.3136000e+01
   6.7550000e+05   8.3169000e+01
   6.7650000e+05   8.3201000e+01
   6.7750000e+05   8.3191000e+01
   6.7850000e+05   8.3224000e+01
   6.7950000e+05   8.3256000e+01
   6.8050000e+05   8.3288000e+01
   6.8150000e+05   8.3319000e+01
   6.8250000e+05   8.3348000e+01
   6.8350000e+05   8.3378000e+01
   6.8450000e+05   8.3407000e+01
   6.8550000e+05   8.3436000e+01
   6.8650000e+05   8.3465000e+01
   6.8750000e+05   8.3494000e+01
   6.8850000e+05   8.3523000e+01
   6.8950000e+05   8.3553000e+01
   6.9050000e+05   8.3582000e+01
   6.9150000e+05   8.3609000e+01
   6.9250000e+05   8.3636000e+01
   6.9350000e+05   8.3662000e+01
   6.9450000e+05   8.3688000e+01
   6.9550000e+05   8.3631000e+01
   6.9650000e+05   8.3657000e+01
   6.9750000e+05   8.3683000e+01
   6.9850000e+05   8.3709000e+01
   6.9950000e+05   8.3734000e+01
   7.0050000e+05   8.3759000e+01
   7.0150000e+05   8.3783000e+01
   7.0250000e+05   8.3806000e+01
   7.0350000e+05   8.3828000e+01
   7.0450000e+05   8.3851000e+01
   7.0550000e+05   8.3871000e+01
   7.0650000e+05   8.3893000e+01
   7.0750000e+05   8.3915000e+01
   7.0850000e+05   8.3937000e+01
   7.0950000e+05   8.3959000e+01
   7.1050000e+05   8.3981000e+01
   7.1150000e+05   8.3995000e+01
   7.1250000e+05   8.4015000e+01
   7.1350000e+05   8.4034000e+01
   7.1450000e+05   8.4053000e+01
   7.1550000e+05   8.4072000e+01
   7.1650000e+05   8.4091000e+01
   7.1750000e+05   8.4111000e+01
   7.1850000e+05   8.4130000e+01
   7.1950000e+05   8.4149000e+01
   7.2050000e+05   8.4169000e+01
   7.2150000e+05   8.4187000e+01
   7.2250000e+05   8.4203000e+01
   7.2350000e+05   8.4220000e+01
   7.2450000e+05   8.4236000e+01
   7.2550000e+05   8.4253000e+01
   7.2650000e+05   8.4269000e+01
   7.2750000e+05   8.4281000e+01
   7.2850000e+05   8.1478000e+01
   7.2950000e+05   8.1495000e+01
   7.3050000e+05   8.1511000e+01
   7.3150000e+05   8.1527000e+01
   7.3250000e+05   8.1541000e+01
   7.3350000e+05   8.1555000e+01
   7.3450000e+05   8.1569000e+01
   7.3550000e+05   8.1583000e+01
   7.3650000e+05   8.1598000e+01
   7.3750000e+05   8.1612000e+01
   7.3850000e+05   8.1627000e+01
   7.3950000e+05   8.1642000e+01
   7.4050000e+05   8.1657000e+01
   7.4150000e+05   8.1554000e+01
   7.4250000e+05   8.1566000e+01
   7.4350000e+05   8.1578000e+01
   7.4450000e+05   8.1590000e+01
   7.4550000e+05   8.1603000e+01
   7.4650000e+05   8.1615000e+01
   7.4750000e+05   8.1627000e+01
   7.4850000e+05   8.1639000e+01
   7.4950000e+05   8.1651000e+01
   7.5050000e+05   8.1663000e+01
   7.5150000e+05   8.1674000e+01
   7.5250000e+05   8.1684000e+01
   7.5350000e+05   8.1693000e+01
   7.5450000e+05   8.1703000e+01
   7.5550000e+05   8.1712000e+01
   7.5650000e+05   8.1721000e+01
   7.5750000e+05   8.1730000e+01
   7.5850000e+05   8.1738000e+01
   7.5950000e+05   8.1746000e+01
   7.6050000e+05   8.1754000e+01
   7.6150000e+05   8.1762000e+01
   7.6250000e+05   8.1767000e+01
   7.6350000e+05   8.1773000e+01
   7.6450000e+05   8.1771000e+01
   7.6550000e+05   8.1776000e+01
   7.6650000e+05   8.1768000e+01
   7.6750000e+05   8.1773000e+01
   7.6850000e+05   8.1779000e+01
   7.6950000e+05   8.1784000e+01
   7.7050000e+05   8.1790000e+01
   7.7150000e+05   8.1794000e+01
   7.7250000e+05   8.1797000e+01
   7.7350000e+05   8.1799000e+01
   7.7450000e+05   8.1802000e+01
   7.7550000e+05   8.1805000e+01
   7.7650000e+05   8.1807000e+01
   7.7750000e+05   8.1810000e+01
   7.7850000e+05   8.1812000e+01
   7.7950000e+05   8.1815000e+01
   7.8050000e+05   8.1817000e+01
   7.8150000e+05   8.1819000e+01
   7.8250000e+05   8.1819000e+01
   7.8350000e+05   8.1802000e+01
   7.8450000e+05   8.1802000e+01
   7.8550000e+05   8.1802000e+01
   7.8650000e+05   8.1801000e+01
   7.8750000e+05   8.1801000e+01
   7.8850000e+05   8.1801000e+01
   7.8950000e+05   8.1801000e+01
   7.9050000e+05   8.1710000e+01
